record_id,sample_id,investor_name,gold_investor_type,auto_investor_type,investor_type_match,gold_filing_code,auto_filing_code,filing_code_match,gold_gp,auto_gp,gp_match,gold_gp_registration_code,auto_gp_registration_code,gp_registration_code_match,source_pages,manual_check_status,blank_reason
GOLD-GEM002-016,GEM002,上海临港松江科技创业投资有限公司,PE基金,PE基金,True,SW1152,SW1152,True,上海临港松江创业投资管理有限公司,上海临港松江创业投资管理有限公司,True,P1063171,P1063171,True,98,confirmed,持股数量和比例未在定位页直接披露
GOLD-GEM002-017,GEM002,深圳市为赛咨询企业（有限合伙）,员工持股平台,员工持股平台,True,,,True,,,True,,,True,96,exclude_not_pe,不是PE基金
GOLD-STAR001-001,STAR001,安徽同华高新技术中心（有限合伙）,普通企业投资人,普通企业投资人,True,,,True,安徽同华投资管理中心（有限合伙）,,False,,,True,76,exclude_not_pe,未备案
GOLD-STAR001-002,STAR001,江苏国寿疌泉股权投资中心（有限合伙）,PE基金,PE基金,True,SJZ124,SJZ124,True,国寿（江苏）股权投资有限公司,,False,P1033329,P1033329,True,84;85;86,confirmed,持股数量未在定位页直接披露
GOLD-STAR001-003,STAR001,南京华泰大健康一号股权投资合伙企业（有限合伙）,证券公司私募/资管产品,证券公司私募/资管产品,True,S32514,S32514,True,华泰紫金投资有限责任公司,华泰紫金投资有限责任公司,True,PT2600011618,PT2600011618,True,84;85;86,confirmed,
GOLD-STAR001-004,STAR001,上海复星惟盈股权投资基金合伙企业（有限合伙）,PE基金,PE基金,True,SED828,SED828,True,上海复星创富投资管理股份有限公司,上海复星创富投资管理股份有限公司,True,P1000303,P1000303,True,85;86,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-005,STAR001,南京华泰大健康二号股权投资合伙企业（有限合伙）,证券公司私募/资管产品,证券公司私募/资管产品,True,S32515,S32515,True,华泰紫金投资有限责任公司,华泰紫金投资有限责任公司,True,PT2600011618,PT2600011618,True,85;86,confirmed,
GOLD-STAR001-006,STAR001,高瓴祈睿医疗产业股权投资基金（有限合伙）,PE基金,PE基金,True,SQS796,SQS796,True,珠海高瓴股权投资管理有限公司,珠海高瓴股权投资管理有限公司,True,P1002820,P1002820,True,85;86,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-007,STAR001,国药中生生物技术产业投资基金（有限合伙）,PE基金,PE基金,True,SCT216,SCT216,True,上海健壹私募基金管理有限公司,上海健壹私募基金管理有限公司,True,P1000641,P1000641,True,85;86,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-008,STAR001,国药二期股权投资基金（有限合伙）,PE基金,PE基金,True,SLX955,SLX955,True,上海健壹私募基金管理有限公司,上海健壹私募基金管理有限公司,True,P1000641,P1000641,True,85;86,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-009,STAR001,夏尔巴二期股权投资基金,PE基金,PE基金,True,SNZ052,SNZ052,True,珠海夏尔巴股权投资管理有限公司,珠海夏尔巴股权投资管理有限公司,True,P1068644,P1068644,True,85;86,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-010,STAR001,聚贝投资,PE基金,PE基金,True,SK4536,SK4536,True,北京宏儒和愉投资管理有限公司,北京宏儒和愉投资管理有限公司,True,P1025162,P1025162,True,85;86,confirmed,
GOLD-STAR001-011,STAR001,苏州敦行价值创业投资合伙企业（有限合伙）,VC基金,VC基金,True,SX2850,SX2850,True,苏州敦行投资管理有限公司,苏州敦行投资管理有限公司,True,P1064670,P1064670,True,85;86,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR002-001,STAR002,华金同达创业投资基金,PE基金,PE基金,True,SCU060,SCU060,True,珠海铧盈投资有限公司,珠海铧盈投资有限公司,True,,,True,109,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-002,STAR002,厦门富凯投资合伙企业,PE基金,PE基金,True,S68363,S68363,True,厦门富凯海创投资管理有限公司,厦门富凯海创投资管理有限公司,True,,,True,109,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-003,STAR002,伊敦传媒投资基金,PE基金,PE基金,True,SS7512,SS7512,True,深圳市招商金台资本管理有限责任公司,深圳市招商金台资本管理有限责任公司,True,,,True,109,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-004,STAR002,领誉基石股权投资基金,PE基金,PE基金,True,SW2464,SW2464,True,深圳市领信基石股权投资基金管理合伙企业（有限合伙）,深圳市领信基石股权投资基金管理合伙企业（有限合伙）,True,,,True,109,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-005,STAR002,芜湖旷沄人工智能产业投资基金,PE基金,PE基金,True,SEZ081,SEZ081,True,珠海佑柏私募基金管理有限公司,珠海佑柏私募基金管理有限公司,True,,,True,109,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-006,STAR002,朗玛六号（北京）私募创业投资基金合伙企业（有限合伙）,VC基金,VC基金,True,SEW534,SEW534,True,朗玛峰创业投资有限公司,朗玛峰创业投资有限公司,True,P1064801,P1064801,True,92;94;109,confirmed,
GOLD-STAR002-007,STAR002,朗玛五号（北京）私募创业投资基金合伙企业（有限合伙）,VC基金,VC基金,True,SEX757,SEX757,True,朗玛峰创业投资有限公司,朗玛峰创业投资有限公司,True,P1064801,P1064801,True,90;92;109,confirmed,
GOLD-STAR002-008,STAR002,朗玛九号（深圳）创业投资中心（有限合伙）,VC基金,VC基金,True,SEU290,SEU290,True,朗玛峰创业投资有限公司,朗玛峰创业投资有限公司,True,P1064801,P1064801,True,94;96;109,confirmed,
GOLD-STAR002-009,STAR002,朗玛十四号（深圳）创业投资中心（有限合伙）,VC基金,VC基金,True,SGP966,SGP966,True,朗玛峰创业投资有限公司,朗玛峰创业投资有限公司,True,P1064801,P1064801,True,96;98;110,confirmed,
GOLD-STAR002-010,STAR002,利得鑫投股权投资基金,PE基金,PE基金,True,SCM767,SCM767,True,寿光市金投股权投资基金管理有限公司,寿光市金投股权投资基金管理有限公司,True,,,True,110,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-011,STAR002,珠海华金创盈三号股权投资基金合伙企业（有限合伙）,PE基金,PE基金,True,SET027,SET027,True,珠海华金领创基金管理有限公司,珠海华金领创基金管理有限公司,True,,,True,103;104;110,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-012,STAR002,宁波梅山保税港区威明投资管理合伙企业（有限合伙）,PE基金,PE基金,True,SEF093,SEF093,True,广东禾一泽成私募基金管理有限公司,广东禾一泽成私募基金管理有限公司,True,,,True,105;110,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-013,STAR002,金石智娱投资基金,证券公司私募/资管产品,证券公司私募/资管产品,True,S32436,S32436,True,中信金石投资有限公司,中信金石投资有限公司,True,,,True,110,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-014,STAR002,岚沣管理咨询（深圳）合伙企业（有限合伙）,员工持股平台,员工持股平台,True,,,True,深圳斓枫科技有限公司,深圳斓枫科技有限公司,True,,,True,77;78,exclude_not_pe,不是PE基金
GOLD-BSE001-001,BSE001,深圳市稳正景明创业投资企业（有限合伙）,VC基金,VC基金,True,SNG030,SNG030,True,深圳市稳正资产管理有限公司,深圳市稳正资产管理有限公司,True,P1003586,P1003586,True,35;37;39,confirmed,
GOLD-BSE001-002,BSE001,长泽创投,VC基金,VC基金,True,SVU935,SVU935,True,深圳市稳正资产管理有限公司,深圳市稳正资产管理有限公司,True,P1003586,P1003586,True,37;39,confirmed,
GOLD-BSE002-001,BSE002,哈尔滨普拉特企业管理咨询有限合伙企业,员工持股平台,员工持股平台,True,,,True,王飞山,王飞山,True,,,True,39;40;41;48,exclude_not_pe,不是PE基金
GOLD-BSE002-002,BSE002,融汇工创,普通企业投资人,普通企业投资人,True,,,True,,,True,,,True,发行前前十名股东,PDF未披露PE/VC属性,
