record_id,investor_name,investor_type_final,investor_type_basis,stock_code,company_short,market,manual_priority,source_tables,pdf_pages_observed,amac_record_code,gp_name,lp_structure,pdf_direct_disclosure,needs_amac_check,needs_gp_lp_check,verification_priority,source_priority,week11_status,manual_instruction,engineering_rule
FQ013,金浦科创基金,PE,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,603418,友升股份,主板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,44；45,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ014,中小企业发展基金（深圳南山有限合伙）,PE,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ015,丰利财富（北京）国际资本管理股份有限公司,PE,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,55；57,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ016,深圳市稳正景明创业投资企业（有限合伙）,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,920100,三协电机,北交所,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,31-32；35-37,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ017,深圳市稳正长泽创业投资企业（有限合伙）,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,920100,三协电机,北交所,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,31-32；35-37,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ018,上海为赛投资管理中心（有限合伙）,其他投资平台,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P2-确认是否PE/VC或持股平台,股权快照；认缴/增资,55；56；59；61；62；63；65,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ019,黄山佳捷股权管理中心（有限合伙）,其他投资平台,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301581,黄山谷捷,创业板,P2-确认是否PE/VC或持股平台,股权快照；认缴/增资,39；45,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ020,共青城星图幸福二期投资合伙企业（有限合伙）,其他投资平台,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,920116,星图测控,北交所,P2-确认是否PE/VC或持股平台,股权快照；认缴/增资,"1-1-35, 1-1-302；1-1-35, 1-1-47",,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ021,芜湖三联控股合伙企业（有限合伙）,其他投资平台,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,001282,三联锻造,主板,P2-确认是否PE/VC或持股平台,股权快照；认缴/增资,35；37,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ022,共青城星图幸福一期投资合伙企业（有限合伙）,其他投资平台,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,920116,星图测控,北交所,P2-确认是否PE/VC或持股平台,股权快照,"1-1-35, 1-1-47",,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ023,德朴投资,其他/待人工复核,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,688775,影石创新,科创板,P2-确认是否PE/VC或持股平台,股权转让-转让方,66,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ024,武汉力源信息技术股份有限公司,产业资本/CVC/法人股东,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P2-补充主体性质与实际控制人,股权快照；认缴/增资,55；56；59；61；62；63；65,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ025,深圳市创新投资集团有限公司,产业资本/CVC/法人股东,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P2-补充主体性质与实际控制人,股权快照；认缴/增资,55；57；59；61；62；63；65,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ026,深圳赛格高技术投资股份有限公司,产业资本/CVC/法人股东,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301581,黄山谷捷,创业板,P2-补充主体性质与实际控制人,股权快照；认缴/增资,39；44；45,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ027,黄山供销集团有限公司,产业资本/CVC/法人股东,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301581,黄山谷捷,创业板,P2-补充主体性质与实际控制人,股权快照,39；43；44；45,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ028,北京四方继保自动化股份有限公司,产业资本/CVC/法人股东,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,920116,星图测控,北交所,P2-补充主体性质与实际控制人,股权快照；认缴/增资,1-1-48,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ029,深圳市云汉电子有限公司,产业资本/CVC/法人股东,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P2-补充主体性质与实际控制人,股权转让-转让方；认缴/增资,55；56,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ030,温州三联锻造有限公司,产业资本/CVC/法人股东,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,001282,三联锻造,主板,P2-补充主体性质与实际控制人,股权快照；认缴/增资,33,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ031,中科星图股份有限公司,产业资本/CVC/法人股东,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,920116,星图测控,北交所,P2-补充主体性质与实际控制人,股权快照,"1-1-35, 1-1-47",,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ032,昆山谷捷金属制品有限公司,产业资本/CVC/法人股东,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301581,黄山谷捷,创业板,P2-补充主体性质与实际控制人,股权快照,38,,,,否,是,是,中,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
