record_id,sample_id,board,stock_code,company_short,company_full,investor_name,investor_type,is_pe_vc,disclosure_status,holding_shares_10k,holding_ratio_pct,investment_event_type,investment_date,investment_amount_10k_yuan,investment_price_yuan_per_share,pe_fund_filing_code,fund_manager_gp,gp_registration_code,lp_structure,lp_count,source_pages,source_section,evidence_text,manual_check_status,blank_reason
GOLD-MB002-009,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,上海金浦科技创业股权投资基金合伙企业（有限合伙）,PE基金,TRUE,disclosed,360,2.49,发行前持股,,,,SLZ239,上海金浦智能科技投资管理有限公司,P1063908,Markdown表格披露LP结构,,72;73;80;81,股东私募投资基金备案情况,备案表披露金浦科创基金编号SLZ239；管理人为上海金浦智能科技投资管理有限公司,confirmed,
GOLD-MB002-010,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,上海杉晖创业投资合伙企业（有限合伙）,VC基金,TRUE,disclosed,297.3333,2.05,发行前持股,,,,SZA715,上海杉杉创晖创业投资管理有限公司,P1004400,Markdown表格披露LP结构,,77;80;81,股东私募投资基金备案情况,备案表披露杉晖创业基金编号SZA715；管理人为上海杉杉创晖创业投资管理有限公司,confirmed,
GOLD-MB002-011,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,上海杉创智至创业投资合伙企业（有限合伙）,VC基金,TRUE,disclosed,59.4667,0.41,发行前持股,,,,SVA072,上海杉杉创晖创业投资管理有限公司,P1004400,Markdown表格披露LP结构,,78;80;81,股东私募投资基金备案情况,备案表披露杉创智至基金编号SVA072；管理人为上海杉杉创晖创业投资管理有限公司,confirmed,
GOLD-GEM001-001,GEM001,创业板,301581,黄山谷捷,黄山谷捷股份有限公司,黄山佳捷股权管理中心（有限合伙）,员工持股平台,FALSE,not_pe,300,5,新增股东增资,2022.5,2124.8129,, ,张俊武,,合伙人均为发行人员工和管理层,15,53;61,新增股东/私募投资基金股东备案登记情况,黄山佳捷为员工持股平台；公司机构股东不属于私募投资基金或私募投资基金管理人,exclude_not_pe,不是PE基金
GOLD-GEM001-002,GEM001,创业板,301581,黄山谷捷,黄山谷捷股份有限公司,机构股东整体,未知/未披露,FALSE,not_disclosed,,,,,,,,,,PDF明确称机构股东不属于私募投资基金或管理人,,61,私募投资基金股东备案登记情况,公司共有股东6名；机构股东不存在募集资金设立或委托管理资产；不需履行备案程序,confirmed_blank,PDF确认无PE/VC基金备案主体
GOLD-GEM002-001,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,芜湖富海浩研创业投资基金（有限合伙）,PE基金,TRUE,disclosed,,5.81,发行前持股,,,,SD1578,芜湖兴安创业投资基金管理有限公司,P1000762,LP结构需从Markdown表格提取,,96,特殊类型股东有关情况,芜湖富海系私募基金；基金编号SD1578；管理人登记编号P1000762,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-002,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,北京国科瑞华战略性新兴产业投资基金（有限合伙）,PE基金,TRUE,disclosed,,5.21,发行前持股,,,,SE1802,中国科技产业投资管理有限公司,P1000510,LP结构需从Markdown表格提取,,96,特殊类型股东有关情况,国科瑞华系私募基金；基金编号SE1802；管理人登记编号P1000510,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-003,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,上海东方富海创业投资企业（有限合伙）,PE基金,TRUE,disclosed,,5.12,发行前持股,,,,SD4217,东方富海（上海）投资管理合伙企业（有限合伙）,P1001155,LP结构需从Markdown表格提取,,96,特殊类型股东有关情况,东方富海系私募基金；基金编号SD4217；管理人登记编号P1001155,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-004,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,PE基金,TRUE,disclosed,,2.11,发行前持股,,,,SCR200,深圳市东方富海创业投资管理有限公司,P1020765,LP结构需从Markdown表格提取,,96,特殊类型股东有关情况,南山富海系私募基金；基金编号SCR200；管理人登记编号P1020765,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-005,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,厦门西堤源股权投资合伙企业（有限合伙）,PE基金,TRUE,disclosed,,1.98,发行前持股,,,,SLV344,厦门西堤源股权投资合伙企业（有限合伙）,P1069922,LP结构需从Markdown表格提取,,96,特殊类型股东有关情况,厦门西堤系私募基金；基金编号SLV344；管理人登记编号P1069922,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-006,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,深圳市创新投资集团有限公司,VC基金,TRUE,disclosed,,1.91,发行前持股,,,,,深圳市创新投资集团有限公司,P1000284,私募基金管理人而非产品,,96,特殊类型股东有关情况,深创投系私募基金管理人；登记编号P1000284,confirmed,基金产品备案编码不适用
GOLD-GEM002-007,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,厦门市天健源达股权投资合伙企业（有限合伙）,PE基金,TRUE,disclosed,66.668,1.67,股权转让,2018.4,,15,SM7375,厦门蜜呆资产管理合伙企业（有限合伙）,P1060176,LP结构需从Markdown表格提取,,88;96,特殊类型股东有关情况,天健创投系私募基金；基金编号SM7375；管理人登记编号P1060176,confirmed,
GOLD-GEM002-008,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,中科贵银（贵州）产业投资基金（有限合伙）,PE基金,TRUE,disclosed,,1.11,发行前持股,,,,SD4760,中国科技产业投资管理有限公司,P1000510,LP结构需从Markdown表格提取,,97,特殊类型股东有关情况,中科贵银系私募基金；基金编号SD4760；管理人登记编号P1000510,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-009,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,深圳东方富海节能环保创业投资基金合伙企业（有限合伙）,PE基金,TRUE,disclosed,,1.05,发行前持股,,,,SCZ580,深圳市富海鑫湾股权投资基金管理企业（有限合伙）,P1020562,LP结构需从Markdown表格提取,,95;97,特殊类型股东有关情况,富海节能系私募基金；基金编号SCZ580；管理人登记编号P1020562,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-010,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,深圳市富海中小企业发展基金股权投资合伙企业（有限合伙）,PE基金,TRUE,disclosed,,0.79,发行前持股,,,,SR5570,深圳市富海中小企业发展基金股权投资管理有限公司,P1031644,LP结构需从Markdown表格提取,,97,特殊类型股东有关情况,中小企业基金系私募基金；基金编号SR5570；管理人登记编号P1031644,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-011,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,珠海拓域股权投资中心（有限合伙）,PE基金,TRUE,disclosed,,,发行前持股,,,,SX9127,珠海拓域股权投资中心（有限合伙）,P1062184,LP结构需从Markdown表格提取,,97,特殊类型股东有关情况,珠海拓域系私募基金；基金编号SX9127；管理人登记编号P1062184,confirmed,持股数量和比例未在定位页直接披露
GOLD-GEM002-012,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,镇江红土创业投资有限公司,VC基金,TRUE,disclosed,,0.68,发行前持股,,,,S27635,江苏红土创业投资管理有限公司,P1009540,LP结构需从Markdown表格提取,,97,特殊类型股东有关情况,镇江红土系私募基金；基金编号S27635；管理人登记编号P1009540,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-013,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,昆山红土高新创业投资有限公司,VC基金,TRUE,disclosed,,0.68,发行前持股,,,,SD6432,昆山红土创业投资管理有限公司,P1013658,LP结构需从Markdown表格提取,,97,特殊类型股东有关情况,昆山红土系私募基金；基金编号SD6432；管理人登记编号P1013658,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-014,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,深圳富海深湾创业投资基金企业（有限合伙）,PE基金,TRUE,disclosed,,0.68,发行前持股,,,,SE6250,东方富海（芜湖）股权投资基金管理企业（有限合伙）,P1001075,LP结构需从Markdown表格提取,,97,特殊类型股东有关情况,富海深湾系私募基金；基金编号SE6250；管理人登记编号P1001075,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-015,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,湘裕君源股权投资合伙企业（有限合伙）,PE基金,TRUE,disclosed,,,发行前持股,,,,SJX381,深圳东方君源资产管理有限公司,P1022337,LP结构需从Markdown表格提取,,97;98,特殊类型股东有关情况,湘裕君源系私募基金；基金编号SJX381；管理人登记编号P1022337,confirmed,持股数量和比例未在定位页直接披露
GOLD-GEM002-016,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,上海临港松江科技创业投资有限公司,PE基金,TRUE,disclosed,,,发行前持股,,,,SW1152,上海临港松江创业投资管理有限公司,P1063171,LP结构需从Markdown表格提取,,98,特殊类型股东有关情况,临港投资系私募基金；基金编号SW1152；管理人登记编号P1063171,confirmed,持股数量和比例未在定位页直接披露
GOLD-GEM002-017,GEM002,创业板,301563,云汉芯城,云汉芯城（上海）互联网科技股份有限公司,深圳市为赛咨询企业（有限合伙）,员工持股平台,FALSE,not_pe,,2.16,发行前持股,,,,,,,发行人员工持股平台,,96,特殊类型股东有关情况,为赛咨询由发行人员工共同出资组成；不属于私募投资基金,exclude_not_pe,不是PE基金
GOLD-STAR001-001,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,安徽同华高新技术中心（有限合伙）,普通企业投资人,FALSE,not_pe,,8.47,发行前持股,,,,,安徽同华投资管理中心（有限合伙）,,PDF披露中国证券投资基金业协会备案为未备案,,76,持股5%以上股东基本情况,高新同华主营业务为股权投资但基金备案状态为未备案；不作为已备案PE基金,exclude_not_pe,未备案
GOLD-STAR001-002,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,江苏国寿疌泉股权投资中心（有限合伙）,PE基金,TRUE,disclosed,,7.85,发行前持股,,,,SJZ124,国寿（江苏）股权投资有限公司,P1033329,Markdown表格披露LP结构,,84;85;86,私募基金备案情况,国寿疌泉基金编号SJZ124；管理人登记编号P1033329,confirmed,持股数量未在定位页直接披露
GOLD-STAR001-003,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,南京华泰大健康一号股权投资合伙企业（有限合伙）,证券公司私募/资管产品,TRUE,disclosed,2014.6701,5.4972,发行前持股,,,,S32514,华泰紫金投资有限责任公司,PT2600011618,Markdown表格披露LP结构,,84;85;86,私募基金备案情况,华泰大健康一号产品编码S32514；管理人登记编号PT2600011618,confirmed,
GOLD-STAR001-004,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,上海复星惟盈股权投资基金合伙企业（有限合伙）,PE基金,TRUE,disclosed,,,发行前持股,,,,SED828,上海复星创富投资管理股份有限公司,P1000303,LP结构需从Markdown表格提取,,85;86,私募基金备案情况,复星惟盈基金编号SED828；管理人登记编号P1000303,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-005,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,南京华泰大健康二号股权投资合伙企业（有限合伙）,证券公司私募/资管产品,TRUE,disclosed,138.0391,0.3767,发行前持股,,,,S32515,华泰紫金投资有限责任公司,PT2600011618,Markdown表格披露LP结构,,85;86,私募基金备案情况,华泰大健康二号产品编码S32515；管理人登记编号PT2600011618,confirmed,
GOLD-STAR001-006,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,高瓴祈睿医疗产业股权投资基金（有限合伙）,PE基金,TRUE,disclosed,,,发行前持股,,,,SQS796,珠海高瓴股权投资管理有限公司,P1002820,LP结构需从Markdown表格提取,,85;86,私募基金备案情况,高瓴祈睿基金编号SQS796；管理人登记编号P1002820,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-007,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,国药中生生物技术产业投资基金（有限合伙）,PE基金,TRUE,disclosed,,,发行前持股,,,,SCT216,上海健壹私募基金管理有限公司,P1000641,LP结构需从Markdown表格提取,,85;86,私募基金备案情况,国药中生基金编号SCT216；管理人登记编号P1000641,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-008,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,国药二期股权投资基金（有限合伙）,PE基金,TRUE,disclosed,,,发行前持股,,,,SLX955,上海健壹私募基金管理有限公司,P1000641,LP结构需从Markdown表格提取,,85;86,私募基金备案情况,国药二期基金编号SLX955；管理人登记编号P1000641,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-009,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,夏尔巴二期股权投资基金,PE基金,TRUE,disclosed,,,发行前持股,,,,SNZ052,珠海夏尔巴股权投资管理有限公司,P1068644,LP结构需从Markdown表格提取,,85;86,私募基金备案情况,夏尔巴二期基金编号SNZ052；管理人登记编号P1068644,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR001-010,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,聚贝投资,PE基金,TRUE,disclosed,135.5689,0.3699,发行前持股,,,,SK4536,北京宏儒和愉投资管理有限公司,P1025162,LP结构需从Markdown表格提取,,85;86,私募基金备案情况,聚贝投资基金编号SK4536；管理人登记编号P1025162,confirmed,
GOLD-STAR001-011,STAR001,科创板,688758,赛分科技,苏州赛分科技股份有限公司,苏州敦行价值创业投资合伙企业（有限合伙）,VC基金,TRUE,disclosed,,,发行前持股,,,,SX2850,苏州敦行投资管理有限公司,P1064670,LP结构需从Markdown表格提取,,85;86,私募基金备案情况,苏州敦行基金编号SX2850；管理人登记编号P1064670,confirmed,持股数量和比例未在定位页直接披露
GOLD-STAR002-001,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,华金同达创业投资基金,PE基金,TRUE,disclosed,1436.7094,3.9909,发行前持股,,,,SCU060,珠海铧盈投资有限公司,,LP结构需从Markdown表格提取,,109,私募投资基金备案情况,华金同达备案编号SCU060；基金管理人为珠海铧盈投资有限公司,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-002,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,厦门富凯投资合伙企业,PE基金,TRUE,disclosed,1332.1116,3.7003,发行前持股,,,,S68363,厦门富凯海创投资管理有限公司,,LP结构需从Markdown表格提取,,109,私募投资基金备案情况,厦门富凯备案编号S68363；基金管理人为厦门富凯海创投资管理有限公司,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-003,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,伊敦传媒投资基金,PE基金,TRUE,disclosed,976.4985,2.7125,发行前持股,,,,SS7512,深圳市招商金台资本管理有限责任公司,,LP结构需从Markdown表格提取,,109,私募投资基金备案情况,伊敦传媒备案编号SS7512；基金管理人为深圳市招商金台资本管理有限责任公司,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-004,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,领誉基石股权投资基金,PE基金,TRUE,disclosed,960.1358,2.667,发行前持股,,,,SW2464,深圳市领信基石股权投资基金管理合伙企业（有限合伙）,,LP结构需从Markdown表格提取,,109,私募投资基金备案情况,领誉基石备案编号SW2464；基金管理人为深圳市领信基石股权投资基金管理合伙企业,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-005,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,芜湖旷沄人工智能产业投资基金,PE基金,TRUE,disclosed,638.5374,1.7737,发行前持股,,,,SEZ081,珠海佑柏私募基金管理有限公司,,LP结构需从Markdown表格提取,,109,私募投资基金备案情况,芜湖旷沄备案编号SEZ081；基金管理人为珠海佑柏私募基金管理有限公司,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-006,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,朗玛六号（北京）私募创业投资基金合伙企业（有限合伙）,VC基金,TRUE,disclosed,600.5396,1.6682,发行前持股,,,,SEW534,朗玛峰创业投资有限公司,P1064801,Markdown表格披露LP结构,,92;94;109,私募投资基金备案情况,朗玛六号备案编号SEW534；管理人为朗玛峰创业投资有限公司,confirmed,
GOLD-STAR002-007,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,朗玛五号（北京）私募创业投资基金合伙企业（有限合伙）,VC基金,TRUE,disclosed,540.4859,1.5013,发行前持股,,,,SEX757,朗玛峰创业投资有限公司,P1064801,Markdown表格披露LP结构,,90;92;109,私募投资基金备案情况,朗玛五号备案编号SEX757；管理人为朗玛峰创业投资有限公司,confirmed,
GOLD-STAR002-008,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,朗玛九号（深圳）创业投资中心（有限合伙）,VC基金,TRUE,disclosed,455.3182,1.2648,发行前持股,,,,SEU290,朗玛峰创业投资有限公司,P1064801,Markdown表格披露LP结构,,94;96;109,私募投资基金备案情况,朗玛九号备案编号SEU290；管理人为朗玛峰创业投资有限公司,confirmed,
GOLD-STAR002-009,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,朗玛十四号（深圳）创业投资中心（有限合伙）,VC基金,TRUE,disclosed,224.9975,0.625,发行前持股,,,,SGP966,朗玛峰创业投资有限公司,P1064801,Markdown表格披露LP结构,,96;98;110,私募投资基金备案情况,朗玛十四号备案编号SGP966；管理人为朗玛峰创业投资有限公司,confirmed,
GOLD-STAR002-010,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,利得鑫投股权投资基金,PE基金,TRUE,disclosed,216.0001,0.6,发行前持股,,,,SCM767,寿光市金投股权投资基金管理有限公司,,LP结构需从Markdown表格提取,,110,私募投资基金备案情况,利得鑫投备案编号SCM767；基金管理人为寿光市金投股权投资基金管理有限公司,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-011,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,珠海华金创盈三号股权投资基金合伙企业（有限合伙）,PE基金,TRUE,disclosed,157.4973,0.4375,发行前持股,,,,SET027,珠海华金领创基金管理有限公司,,LP结构需从Markdown表格提取,,103;104;110,私募投资基金备案情况,华金创盈备案编号SET027；基金管理人为珠海华金领创基金管理有限公司,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-012,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,宁波梅山保税港区威明投资管理合伙企业（有限合伙）,PE基金,TRUE,disclosed,89.9968,0.25,发行前持股,,,,SEF093,广东禾一泽成私募基金管理有限公司,,LP结构需从Markdown表格提取,,105;110,私募投资基金备案情况,威明投资备案编号SEF093；基金管理人为广东禾一泽成私募基金管理有限公司,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-013,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,金石智娱投资基金,证券公司私募/资管产品,TRUE,disclosed,911.2486,2.5312,发行前持股,,,,S32436,中信金石投资有限公司,,证券公司私募投资基金产品,,110,私募投资基金备案情况,金石智娱为证券公司私募投资基金；产品编码S32436；管理机构为中信金石投资有限公司,confirmed,管理人登记编号未在定位表披露
GOLD-STAR002-014,STAR002,科创板,688775,影石创新,影石创新科技股份有限公司,岚沣管理咨询（深圳）合伙企业（有限合伙）,员工持股平台,FALSE,not_pe,, ,发行前持股,,,,,深圳斓枫科技有限公司,,员工持股平台,,77;78,控股股东及一致行动人基本情况,岚沣管理主营业务为员工持股平台；应与PE基金分开处理,exclude_not_pe,不是PE基金
GOLD-BSE001-001,BSE001,北交所,920100,三协电机,常州三协电机股份有限公司,深圳市稳正景明创业投资企业（有限合伙）,VC基金,TRUE,disclosed,486.7,9.16,发行前持股,,,,SNG030,深圳市稳正资产管理有限公司,P1003586,PDF披露普通合伙人和有限合伙人结构,,35;37;39,直接持有发行人的私募投资基金纳入监管情况,稳正景明为私募基金；备案编码SNG030；管理人为深圳市稳正资产管理有限公司,confirmed,
GOLD-BSE001-002,BSE001,北交所,920100,三协电机,常州三协电机股份有限公司,长泽创投,VC基金,TRUE,disclosed,244.7,4.61,发行前持股,,,,SVU935,深圳市稳正资产管理有限公司,P1003586,与稳正景明同一普通合伙人和管理人,,37;39,直接持有发行人的私募投资基金纳入监管情况,长泽创投为私募基金；备案编码SVU935；管理人为深圳市稳正资产管理有限公司,confirmed,
GOLD-BSE002-001,BSE002,北交所,920091,大鹏工业,哈尔滨岛田大鹏工业股份有限公司,哈尔滨普拉特企业管理咨询有限合伙企业,员工持股平台,FALSE,not_pe,172.5,3.71,发行前持股,,,,,王飞山,,合伙人均为公司员工,45,39;40;41;48,员工持股计划,普拉特为公司员工持股平台；合伙人均为公司员工；应排除PE基金口径,exclude_not_pe,不是PE基金
GOLD-BSE002-002,BSE002,北交所,920091,大鹏工业,哈尔滨岛田大鹏工业股份有限公司,融汇工创,普通企业投资人,FALSE,not_disclosed,90.93,1.96,发行前持股,,,,,,,,40,发行前前十名股东,融汇工创为发行前股东但定位页未披露其为私募基金或基金管理人,confirmed_blank,PDF未披露PE/VC属性,
