investor_name,investor_type_final,manual_priority,company_count,companies,markets,source_tables,pdf_pages_observed,amac_record_code,gp_name,lp_structure,disclosure_status,next_action,week10_principle
中小企业发展基金（深圳南山有限合伙）,PE,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
丰利财富（北京）国际资本管理股份有限公司,PE,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,55；57,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
深圳市稳正景明创业投资企业（有限合伙）,VC,P1-优先补备案编码/GP/LP,1,三协电机,北交所,股权快照；认缴/增资,31-32；35-37,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
深圳市稳正长泽创业投资企业（有限合伙）,VC,P1-优先补备案编码/GP/LP,1,三协电机,北交所,股权快照；认缴/增资,31-32；35-37,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
上海为赛投资管理中心（有限合伙）,其他投资平台,P2-确认是否PE/VC或持股平台,1,云汉芯城,创业板,股权快照；认缴/增资,55；56；59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
黄山佳捷股权管理中心（有限合伙）,其他投资平台,P2-确认是否PE/VC或持股平台,1,黄山谷捷,创业板,股权快照；认缴/增资,39；45,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
共青城星图幸福二期投资合伙企业（有限合伙）,其他投资平台,P2-确认是否PE/VC或持股平台,1,星图测控,北交所,股权快照；认缴/增资,"1-1-35, 1-1-302；1-1-35, 1-1-47",,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
芜湖三联控股合伙企业（有限合伙）,其他投资平台,P2-确认是否PE/VC或持股平台,1,三联锻造,主板,股权快照；认缴/增资,35；37,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
共青城星图幸福一期投资合伙企业（有限合伙）,其他投资平台,P2-确认是否PE/VC或持股平台,1,星图测控,北交所,股权快照,"1-1-35, 1-1-47",,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
德朴投资,其他/待人工复核,P2-确认是否PE/VC或持股平台,1,影石创新,科创板,股权转让-转让方,66,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
武汉力源信息技术股份有限公司,产业资本/CVC/法人股东,P2-补充主体性质与实际控制人,1,云汉芯城,创业板,股权快照；认缴/增资,55；56；59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
深圳市创新投资集团有限公司,产业资本/CVC/法人股东,P2-补充主体性质与实际控制人,1,云汉芯城,创业板,股权快照；认缴/增资,55；57；59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
深圳赛格高技术投资股份有限公司,产业资本/CVC/法人股东,P2-补充主体性质与实际控制人,1,黄山谷捷,创业板,股权快照；认缴/增资,39；44；45,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
黄山供销集团有限公司,产业资本/CVC/法人股东,P2-补充主体性质与实际控制人,1,黄山谷捷,创业板,股权快照,39；43；44；45,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
北京四方继保自动化股份有限公司,产业资本/CVC/法人股东,P2-补充主体性质与实际控制人,1,星图测控,北交所,股权快照；认缴/增资,1-1-48,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
深圳市云汉电子有限公司,产业资本/CVC/法人股东,P2-补充主体性质与实际控制人,1,云汉芯城,创业板,股权转让-转让方；认缴/增资,55；56,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
温州三联锻造有限公司,产业资本/CVC/法人股东,P2-补充主体性质与实际控制人,1,三联锻造,主板,股权快照；认缴/增资,33,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
中科星图股份有限公司,产业资本/CVC/法人股东,P2-补充主体性质与实际控制人,1,星图测控,北交所,股权快照,"1-1-35, 1-1-47",,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
昆山谷捷金属制品有限公司,产业资本/CVC/法人股东,P2-补充主体性质与实际控制人,1,黄山谷捷,创业板,股权快照,38,,,,三表未直接披露备案编码/GP/LP，暂不推断,保留为外部核验队列,PDF未披露就留空；外部补充必须另列来源
