record_id,stock_code,company_short,investor_name,investor_type_final,verify_item,current_value,evidence_location,manual_rule,suggested_action,check_result,reviewer,update_target
FQ015,301563,云汉芯城,丰利财富（北京）国际资本管理股份有限公司,PE,LP结构,,55；57,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ016,920100,三协电机,深圳市稳正景明创业投资企业（有限合伙）,VC,备案编码,,31-32；35-37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ016,920100,三协电机,深圳市稳正景明创业投资企业（有限合伙）,VC,基金管理人/GP,,31-32；35-37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ016,920100,三协电机,深圳市稳正景明创业投资企业（有限合伙）,VC,LP结构,,31-32；35-37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ017,920100,三协电机,深圳市稳正长泽创业投资企业（有限合伙）,VC,备案编码,,31-32；35-37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ017,920100,三协电机,深圳市稳正长泽创业投资企业（有限合伙）,VC,基金管理人/GP,,31-32；35-37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ017,920100,三协电机,深圳市稳正长泽创业投资企业（有限合伙）,VC,LP结构,,31-32；35-37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ018,301563,云汉芯城,上海为赛投资管理中心（有限合伙）,其他投资平台,备案编码,,55；56；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ018,301563,云汉芯城,上海为赛投资管理中心（有限合伙）,其他投资平台,基金管理人/GP,,55；56；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ018,301563,云汉芯城,上海为赛投资管理中心（有限合伙）,其他投资平台,LP结构,,55；56；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ019,301581,黄山谷捷,黄山佳捷股权管理中心（有限合伙）,其他投资平台,备案编码,,39；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ019,301581,黄山谷捷,黄山佳捷股权管理中心（有限合伙）,其他投资平台,基金管理人/GP,,39；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ019,301581,黄山谷捷,黄山佳捷股权管理中心（有限合伙）,其他投资平台,LP结构,,39；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ020,920116,星图测控,共青城星图幸福二期投资合伙企业（有限合伙）,其他投资平台,备案编码,,"1-1-35, 1-1-302；1-1-35, 1-1-47",能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ020,920116,星图测控,共青城星图幸福二期投资合伙企业（有限合伙）,其他投资平台,基金管理人/GP,,"1-1-35, 1-1-302；1-1-35, 1-1-47",能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ020,920116,星图测控,共青城星图幸福二期投资合伙企业（有限合伙）,其他投资平台,LP结构,,"1-1-35, 1-1-302；1-1-35, 1-1-47",能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ021,001282,三联锻造,芜湖三联控股合伙企业（有限合伙）,其他投资平台,备案编码,,35；37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ021,001282,三联锻造,芜湖三联控股合伙企业（有限合伙）,其他投资平台,基金管理人/GP,,35；37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ021,001282,三联锻造,芜湖三联控股合伙企业（有限合伙）,其他投资平台,LP结构,,35；37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ022,920116,星图测控,共青城星图幸福一期投资合伙企业（有限合伙）,其他投资平台,备案编码,,"1-1-35, 1-1-47",能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ022,920116,星图测控,共青城星图幸福一期投资合伙企业（有限合伙）,其他投资平台,基金管理人/GP,,"1-1-35, 1-1-47",能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ022,920116,星图测控,共青城星图幸福一期投资合伙企业（有限合伙）,其他投资平台,LP结构,,"1-1-35, 1-1-47",能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ023,688775,影石创新,德朴投资,其他/待人工复核,备案编码,,66,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ023,688775,影石创新,德朴投资,其他/待人工复核,基金管理人/GP,,66,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ023,688775,影石创新,德朴投资,其他/待人工复核,LP结构,,66,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ024,301563,云汉芯城,武汉力源信息技术股份有限公司,产业资本/CVC/法人股东,备案编码,,55；56；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ024,301563,云汉芯城,武汉力源信息技术股份有限公司,产业资本/CVC/法人股东,基金管理人/GP,,55；56；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ024,301563,云汉芯城,武汉力源信息技术股份有限公司,产业资本/CVC/法人股东,LP结构,,55；56；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ025,301563,云汉芯城,深圳市创新投资集团有限公司,产业资本/CVC/法人股东,备案编码,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ025,301563,云汉芯城,深圳市创新投资集团有限公司,产业资本/CVC/法人股东,基金管理人/GP,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ025,301563,云汉芯城,深圳市创新投资集团有限公司,产业资本/CVC/法人股东,LP结构,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ026,301581,黄山谷捷,深圳赛格高技术投资股份有限公司,产业资本/CVC/法人股东,备案编码,,39；44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ026,301581,黄山谷捷,深圳赛格高技术投资股份有限公司,产业资本/CVC/法人股东,基金管理人/GP,,39；44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ026,301581,黄山谷捷,深圳赛格高技术投资股份有限公司,产业资本/CVC/法人股东,LP结构,,39；44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ027,301581,黄山谷捷,黄山供销集团有限公司,产业资本/CVC/法人股东,备案编码,,39；43；44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ027,301581,黄山谷捷,黄山供销集团有限公司,产业资本/CVC/法人股东,基金管理人/GP,,39；43；44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ027,301581,黄山谷捷,黄山供销集团有限公司,产业资本/CVC/法人股东,LP结构,,39；43；44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ028,920116,星图测控,北京四方继保自动化股份有限公司,产业资本/CVC/法人股东,备案编码,,1-1-48,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ028,920116,星图测控,北京四方继保自动化股份有限公司,产业资本/CVC/法人股东,基金管理人/GP,,1-1-48,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ028,920116,星图测控,北京四方继保自动化股份有限公司,产业资本/CVC/法人股东,LP结构,,1-1-48,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ029,301563,云汉芯城,深圳市云汉电子有限公司,产业资本/CVC/法人股东,备案编码,,55；56,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ029,301563,云汉芯城,深圳市云汉电子有限公司,产业资本/CVC/法人股东,基金管理人/GP,,55；56,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ029,301563,云汉芯城,深圳市云汉电子有限公司,产业资本/CVC/法人股东,LP结构,,55；56,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ030,001282,三联锻造,温州三联锻造有限公司,产业资本/CVC/法人股东,备案编码,,33,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ030,001282,三联锻造,温州三联锻造有限公司,产业资本/CVC/法人股东,基金管理人/GP,,33,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ030,001282,三联锻造,温州三联锻造有限公司,产业资本/CVC/法人股东,LP结构,,33,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ031,920116,星图测控,中科星图股份有限公司,产业资本/CVC/法人股东,备案编码,,"1-1-35, 1-1-47",能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ031,920116,星图测控,中科星图股份有限公司,产业资本/CVC/法人股东,基金管理人/GP,,"1-1-35, 1-1-47",能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ031,920116,星图测控,中科星图股份有限公司,产业资本/CVC/法人股东,LP结构,,"1-1-35, 1-1-47",能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ032,301581,黄山谷捷,昆山谷捷金属制品有限公司,产业资本/CVC/法人股东,备案编码,,38,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ032,301581,黄山谷捷,昆山谷捷金属制品有限公司,产业资本/CVC/法人股东,基金管理人/GP,,38,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ032,301581,黄山谷捷,昆山谷捷金属制品有限公司,产业资本/CVC/法人股东,LP结构,,38,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
