record_id,stock_code,company_short,source_file,source_record_no,pdf_page,transfer_date,batch_label,transferor_name,transferee_name,transferred_shares_wan,,transfer_price_yuan,transfer_ratio_pct,source_evidence
AUTO-TR-688758-002,688758,赛分科技,688758_赛分科技.jsonl,51,56,2021年2月25日,,,,,,,,"苏州赛分科技股份有限公司 首次公开发行股票并在科创板上市招股说明书 转让单价 注册资本 转让价格 序号 转让方 受让方 （元/注册资本） （万元） （万元） 2 朱勤华 19.4081 1,000.0000 3 唐斌 0.8872 45.7143 4 张敏 0.6100 31.4286 注：上述表格中转让单价和转让金额之间的细微差异，系计算过程四舍五入造成。 2021 年 3 月，上述股权受让方将股权转让款项支付给黄学英。根据国家税 务总局苏州工业园区税务局第一税务所出具的完税证明，黄学英已就上述股权转 让事项缴纳了个人所得税5,882,051.40 元。 （2）报告期内第一次增资 2021年2月25日，赛分有限召开股东会并作出决议，同意公司注册资本增 加342.6769万元至2,750.6769万元。新增的342.6769万元注册资本由国寿疌泉、 复星惟盈、唐斌、张敏以人民币 1.85亿元认购。 2021年2月26日，国寿疌泉、复星惟盈、唐斌、张敏与发行人签署了《关 于苏州赛分科技有限公司之增资协议》。 本次增资具体情况如下： 认缴出资额 增资价格 增资金额 序号 股东姓名/名称 出资方式 （万元） （元/注册资本） （万元） 1 国寿疌泉 250.0615 13,500.0000 货币 2 复星惟盈 89.0431 4,807.1429 货币 53.99 3 唐斌 2.1169"
AUTO-TR-688758-003,688758,赛分科技,688758_赛分科技.jsonl,76,58,,,,,,,,,苏州赛分科技股份有限公司 首次公开发行股票并在科创板上市招股说明书 双方将另行签署《股权转让协议》。 黄学英与高新同华就上述股权转让事宜签署了《股权转让协议》，就该次股 权转让事项，黄学英已经取得了免税证明。 本次股权转让后，赛分有限的股权结构如下： 认缴出资额 实缴出资额 出资比例 序号 股东姓名/名称 出资方式 （万元） （万元） （%） 1 黄学英 803.1668 803.1668 29.1989 货币 2 周金清 280.0000 280.0000 10.1793 货币 3 陆民 257.4000 257.4000 9.3577 货币 4 国寿疌泉 250.0615 250.0615 9.0909 货币 5 高新同华 270.0000 270.0000 9.8158 货币 6 华泰大健康一号 175.1887 175.1887 6.3689 货币 7 苏州贤达 134.1500 134.1500 4.8770 货币 8 苏州博达 114.9389 114.9389 4.1786 货币 9 复星惟盈 126.3621 126.3621 4.5939 货币 10 苏州杰贤 69.4800 69.4800 2.5259 货币 11 潘鼎 63.2000 63.2000 2.2976 货币 12 海佳同康 47.4000 47.4000 1.7232 货币 13 苏州敦行 40.
AUTO-TR-688758-004,688758,赛分科技,688758_赛分科技.jsonl,190,64,2011年10月,,,,,,,,"苏州赛分科技股份有限公司 首次公开发行股票并在科创板上市招股说明书 序号 股东姓名/名称 股份数量（股） 持股比例（%） 31 圣成投资 111,539 0.0304 32 圣祁投资 17,894 0.0049 合计 366,488,394 100.0000 三、公司成立以来重要事件 2011年10月，赛分有限以 170万美元向黄学英/刘鸿雁、陆民、周乃鼎、史 建伟、Cheer Rise Consultants Limited 收购美国赛分79,399股股份，占美国赛分 股份总数的100%。该次股份收购后，赛分有限持有美国赛分 100%的股份。 具体转让情况如下： 序号 转让方 转让股份数（股） 持股比例（%） 转让价格（美元） 1 黄学英/刘鸿雁 38,570 48.5774 825,816 2 陆民 15,584 19.6275 333,667 3 周乃鼎 14,778 18.6123 316,410 4 史建伟 10,200 12.8465 218,391 Cheer Rise 5 267 0.3363 5,717 Consultants Limited 总计 79,399 100.0000 1,700,000 该次股份转让后，美国赛分已发行的股份情况如下： 序号 股东 持股数量（股） 持股比例（%） 1 赛分有限 79,399 100.0000 总计 79,399 100."
AUTO-TR-688758-005,688758,赛分科技,688758_赛分科技.jsonl,242,72,2024年2月,,,,,,,,苏州赛分科技股份有限公司 首次公开发行股票并在科创板上市招股说明书 认缴出资额 认缴出资比例 序号 股东姓名 合伙人性质 出资方式 （万元） （%） LUCERO SIERRA 12 有限合伙人 16.60500 2.0127 货币 GIBBONS 13 毛慧明 有限合伙人 33.20995 4.0253 货币 14 周建新 有限合伙人 11.07000 1.3418 货币 15 TAH BEN HSU 有限合伙人 11.07000 1.3418 货币 合计 / 825.02250 100.0000 / 注1：苏州贤达人员构成系发行人国外员工。其中：TAH BEN HSU自2014年至2019 年底担任美国赛分顾问，非美国赛分正式员工，基于其对公司业务的贡献，向其授予合伙企 业份额；YI HUANG自2009年入职美国赛分担任会计，2014年离职后一直担任公司的财务 顾问，基于其对公司业务的贡献，向其授予合伙企业份额。 注2：2024年2月，发行人员工JIAN XU离职，其所持有的苏州贤达合伙份额转让给 普通合伙人黄学英。 2、苏州杰贤 中文名称： 苏州杰贤企业管理合伙企业（有限合伙） 统一社会信用代码： 91320594MA1TDWHX1U 中国（江苏）自由贸易试验区苏州片区集贤街 11 号赛分科技研发办 注册地： 公大楼一楼办公室一 类型： 有限合伙企业 注册资本： 427.3
AUTO-TR-688758-006,688758,赛分科技,688758_赛分科技.jsonl,256,73,2019年4月,,,,,,,,苏州赛分科技股份有限公司 首次公开发行股票并在科创板上市招股说明书 合伙人姓名 认缴出资额 认缴出资比例 序号 合伙人性质 出资方式 /名称 （万元） （%） 11 黄杰 有限合伙人 9.2250 2.1589 货币 合计 / 427.3020 100.0000 / 注：苏州杰贤人员构成系发行人国内员工，其中丁忠于2019年4月离职。 3、员工持股计划遵循“闭环原则” 公司股权激励方案约定：在赛分科技上市或者被并购之前，有限合伙人可以 选择全部或者部分转让本合伙企业股权份额，只能转让给普通合伙人（即黄学英）， 普通合伙人需要出资购买有限合伙人的份额。 苏州贤达、苏州杰贤承诺，自发行人股票上市之日起 36 个月内，不转让或 者委托他人管理直接和间接持有的发行人首次公开发行股票前已发行股份，也不 由发行人回购该部分股份。 （三）其他持有公司 5%以上股份的主要股东情况 截至本招股说明书签署日，公司除控股股东外，直接或间接持股比例超过 5%的其他主要股东及其关联方情况如下： 1、周金清 周金清，男，生于 1941 年，中国国籍，无境外永久居留权，身份证号 32042119411122****。截至本招股说明书签署日，周金清直接持有公司 8.79%的 股份。 周金清现任江苏鸿联置业集团有限公司董事、上海元光投资有限公司执行董 事、江苏鸿联建材有限公司监事、常州市葑岸电镀有限公司监事、常州市
AUTO-TR-688775-001,688775,影石创新,688775_影石创新.jsonl,56,66,2023年1月28日,,德朴投资,汇智同裕,287.0651,,,,"2023年1月28日和2023年2月17日，影石创新分别召开董事会和股东大会并形成决议，同意德朴投资以1,462.7126万元的对价向汇智同裕转让股本287.0651万元。2023年3月24日，深圳市市场监督管理局核准了本次备案登记。本次变更后，公司的出资情况如下：序号1 北京岚锋 10,777.5453万股 29.9376%；...序号17 汇智同裕 478.6264万股 1.3295%；...合计36,000.00万元，100.00%。（招股说明书第65-67页）"
AUTO-TR-920100-001,920100,三协电机,920100_三协电机.jsonl,1,31-32,2022年6月24日,第1批,,,530,,,,"2022年6月24日，公司召开第二届董事会第四次会议审议通过了《关于<常州三协电机股份有限公司股票定向发行说明书>的议案》。2022年7月9日，公司召开2022年第一次临时股东大会，审议通过了上述议案。本次股票发行价格为4.48元/股，共发行普通股530.00万股，募集资金总额为2,374.40万元，募集资金用途为补充流动资金。2022年7月29日，全国股转公司就公司本次股票发行事项出具了《关于对常州三协电机股份有限公司股票定向发行无异议的函》（股转函〔2022〕1807号）。2022年8月15日，苏亚金诚出具《验资报告》（苏亚锡验[2022]7号），经审验，截至2022年8月9日，公司已收到稳正景明、长泽创投缴纳的出资款2,374.40万元。本次股票发行新增股份于2022年9月1日在股转系统挂牌并公开转让。（PDF第31-32页） 注：稳正景明与长泽创投的个别认购股数未在招股说明书中单独披露。此处按当前持股比例(经2023年每10股转增3.80股权益分派还原后)反向推算：稳正景明约3,526,786股(占比66.54%)，长泽创投约1,773,214股(占比33.46%)。"
AUTO-TR-920100-002,920100,三协电机,920100_三协电机.jsonl,3,"32,37-38",2023年5月26日,第2批,,,321.5,,,,"2023年5月26日，公司召开第二届董事会第十三次会议审议通过了《关于<常州三协电机股份有限公司股票定向发行说明书>的议案》。2023年6月15日，公司召开2023年第三次临时股东大会，审议通过了上述议案。本次股票拟发行价格为5.41元/股，拟发行普通股321.50万股，拟募集资金总额为1,739.32万元，募集资金用途为补充流动资金。2023年7月5日，全国股转公司就公司本次股票发行事项出具了《关于同意常州三协电机股份有限公司股票定向发行的函》（股转函〔2023〕1295号）。2023年9月8日，苏亚金诚出具《验资报告》（苏亚验[2023]10号），经审验，截至2023年9月6日，公司已收到盛祎、盛松、薛小丽、倪进宽、余方成、吴春扣、陆宇君、戈翔俊、陈都亮、圣利、董雪强、文涛、付荷庆、陈韵和盛月瑶15名认购人缴纳的出资款1,723.09万元。本次股票发行新增股份于2023年10月23日在股转系统挂牌并公开转让。（PDF第32页）。 注：各认购人个别股数招股说明书未单独披露，此处按当前持股数÷1.38（2023年每10股转增3.80股权益分派）反向推算，与验资总额1,723.09万元一致。"
AUTO-TR-920116-001,920116,星图测控,920116_星图测控.jsonl,4,"1-1-35, 1-1-302",2023年3月28日,2023年第一次股票定向发行,,,750,,,,"中科星图测控技术股份有限公司 招股说明书（申报稿） （四）申报前十二个月新增股东情况 2023年3-5月，公司向特定对象定向发行750万股，发行价格6.30元/股，具体情况如下： 序号 股东名称 认购股份（万股） 认购金额（万元） 1 策星银河 279.00 1,757.70 2 策星逐日 171.00 1,077.30 3 幸福二期 300.00 1,890.00 合计 750.00 4,725.00 2023年3月28日，公司分别召开第一届董事会第六次会议与第一届监事会第三次会议审议通过了《关于<中科星图测控技术股份有限公司2023年第一次股票定向发行说明书>的议案》。2023年4月12日，公司召开了2023年第三次临时股东大会，审议通过了上述议案。全国股转公司于2023年4月26日向公司出具了《关于同意中科星图测控技术股份有限公司股票定向发行的函》（股转函〔2023〕876号）。公司本次定向发行新增股份于2023年5月19日起在全国中小企业股份转让系统挂牌并公开转让。"
AUTO-TR-920116-002,920116,星图测控,920116_星图测控.jsonl,10,1-1-48,2017年10月9日,,罗永红,牛威,,,,20,中科星图测控技术股份有限公司 招股说明书 公司历史沿革中存在股权代持情形。2017年10月9日，罗永红与牛威、王金林与吴功友分别签署《股权转让协议》，罗永红将其持有的星图测控有限20%股权（对应400万元出资额）转让给牛威，王金林将其持有的星图测控有限20%股权（对应400万元出资额）转让给吴功友，代持关系解除。
